['-0.0000520622', '-0.0000192643', '0.3073238706', '0.9999999811', '-0.0001267419', '0.0001476147', '0.0000000719', '-0.0010795159', '0.0244449763', '-0.0567544417', '0.0017296087', '0.0244450237', '-0.0567545404', '-0.0007834898', '0.0244449105', '-0.0567560284', '0.0014337988', '0.0244449583', '-0.0567561277']
['0.0001862773', '-0.0000462333', '0.3175002497', '0.9999999515', '-0.0002636062', '0.0001661442', '0.0000009532', '-0.0019419986', '0.0738906474', '-0.1660588922', '0.0033200507', '0.0739291510', '-0.1661504573', '-0.0015393813', '0.0754556592', '-0.1693715259', '0.0029204187', '0.0754924697', '-0.1694593365']
['0.0006515540', '-0.0000715172', '0.3274535149', '0.9999999344', '-0.0003532949', '-0.0000796832', '0.0000018871', '-0.0026571563', '0.1400220814', '-0.3086535466', '0.0045524284', '0.1400782142', '-0.3088052750', '-0.0019353707', '0.1449031992', '-0.3182521028', '0.0038312603', '0.1449510596', '-0.3183718521']
['0.0012643457', '-0.0000958634', '0.3369268942', '0.9999994956', '-0.0003963606', '-0.0009228936', '0.0000029658', '-0.0032753564', '0.2166615841', '-0.4705082782', '0.0054764511', '0.2167247767', '-0.4706964316', '-0.0028774985', '0.2271369052', '-0.4869501660', '0.0050788508', '0.2271879470', '-0.4870852466']
['0.0019567917', '-0.0001191868', '0.3459032703', '0.9999973169', '-0.0004161564', '-0.0022788326', '0.0000040266', '-0.0037481414', '0.2985135351', '-0.6399419169', '0.0061341656', '0.2985762910', '-0.6401489094', '-0.0041730498', '0.3165847111', '-0.6631691064', '0.0065604765', '0.3166338816', '-0.6633084004']
['0.0026715466', '-0.0001414598', '0.3544056320', '0.9999916967', '-0.0004244461', '-0.0040529506', '0.0000049888', '-0.0042045229', '0.3813146567', '-0.8077250073', '0.0067001390', '0.3813722613', '-0.8079388657', '-0.0058239260', '0.4087776535', '-0.8371603670', '0.0083230443', '0.4088223326', '-0.8372974712']
['0.0033637088', '-0.0001626997', '0.3624853933', '0.9999810638', '-0.0004271923', '-0.0061391828', '0.0000058185', '-0.0049093232', '0.4618394707', '-0.9671012599', '0.0074617250', '0.4618895365', '-0.9673145884', '-0.0079704827', '0.5003345221', '-1.0017618063', '0.0105288613', '0.5003740263', '-1.0018938963']
['0.0040009022', '-0.0001829574', '0.3702066674', '0.9999644211', '-0.0004274210', '-0.0084245955', '0.0000065109', '-0.0062091789', '0.5377890219', '-1.1135189188', '0.0087762409', '0.5378309859', '-1.1137277065', '-0.0108283496', '0.5888121712', '-1.1521259600', '0.0134036228', '0.5888472792', '-1.1522526462']
['0.0045619696', '-0.0002023074', '0.3776333713', '0.9999416214', '-0.0004266536', '-0.0107968345', '0.0000070784', '-0.0084758724', '0.6076175363', '-1.2442069754', '0.0110202253', '0.6076521931', '-1.2444095011', '-0.0146306212', '0.6724929791', '-1.2852865633', '0.0171845475', '0.6725255355', '-1.2854089285']
['0.0050350827', '-0.0002208392', '0.3848215598', '0.9999134279', '-0.0004256352', '-0.0131512520', '0.0000075416', '-0.0120515097', '0.6703561959', '-1.3577396000', '0.0145379219', '0.6703852921', '-1.3579355538', '-0.0195786547', '0.7501820078', '-1.3997159880', '0.0220745375', '0.7502145928', '-1.3998358493']
['0.0054158084', '-0.0002386493', '0.3918163389', '0.9998813822', '-0.0004247113', '-0.0153961362', '0.0000079232', '-0.0171990987', '0.7254681114', '-1.4536701792', '0.0195937747', '0.7254939914', '-1.4538600131', '-0.0258021121', '0.8210540191', '-1.4949551590', '0.0282042223', '0.8210896403', '-1.4950745177']
